review_id,asin,brand,rating,title,body,sentiment,compound_score,verified_purchase,helpful_votes,review_date,aspect_wheels,aspect_handle,aspect_material,aspect_zipper,aspect_size,aspect_durability,aspect_lock,aspect_weight
R498CAXFQFC89,B0DNMVSTL8,Safari,1,1.0 out of 5 stars,"मैंने 2 सूटकेस का कॉम्बो आर्डर किया था, लेकिन एक सूटकेस की ही डिलीवरी दी गई, जब कंप्लेंट की गई तो रिटर्न की सलाह कस्टमर केअर ने दी।
रिटर्न्स के बाद रिफंड 15 दिन बीत जाने के बाद भी अभी तक नहीं मिला है।",neutral,0.0,False,0,8 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2Z77990DZ2JHP,B0DNMVSTL8,Safari,5,5.0 out of 5 stars,Very good product all rating 5 star,positive,0.91,True,0,5 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM7FZ7Z51WPHC,B0DNMVSTL8,Safari,2,2.0 out of 5 stars,"Within a year of my use the item was damaged and a crack has opened in the Outer Case. While my warranty should cover it.

I DON'T KNOW HOW",neutral,0.0,True,0,9 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3YI3Z66DCEMF,B0DNMVSTL8,Safari,4,4.0 out of 5 stars,Size is larger than expected. Otherwise its a good practical product,positive,0.2,True,0,13 January 2026,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
R38FGKOTKISQQM,B0DNMVSTL8,Safari,4,4.0 out of 5 stars,"Nice product, very easy to carry, efficiency is good, very good load bearing capacity, suitable for students, small family short trip",positive,0.439,False,0,11 January 2026,0.0,0.0,0.0,0.0,0.439,0.0,0.0,0.0
R280HWMVKF5C8Z,B0DNMVSTL8,Safari,1,1.0 out of 5 stars,Charging more than 6000 rupees for a cabin bag but still cannot come with a good quality. Plastic feels cheap and its very brittle! Not recommended,positive,0.463,True,2,26 December 2025,0.0,0.0,0.463,0.0,0.0,0.0,0.0,0.0
R2PQR1R9HVDYF7,B0D79727MK,Safari,4,4.0 out of 5 stars,Very nice Bag specially for Solo travellers and business trips. The charger connection given is useless and obsolete when we all have now c chargers and power banks,positive,0.212,True,0,24 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12YUI74MXQI9N,B0D79727MK,Safari,4,4.0 out of 5 stars,Decent quality for the price. The extending handle is slightly wobbly and could have been better. The wheels are very smooth.,positive,0.255,True,0,10 March 2026,0.255,0.255,0.0,0.0,0.0,0.0,0.0,0.255
R14Q9O5NQMI9Q2,B0D79727MK,Safari,5,5.0 out of 5 stars,ortable fmoC,neutral,0.0,True,0,3 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3C3LAUBSKGUO6,B0D79727MK,Safari,3,3.0 out of 5 stars,The outer casing seems flimsy. I have purchased same brand last year but this one quality seems worse than the earlier purchase. Unfortunately I have to travel and there is no time for returns.,negative,-0.18,True,0,22 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3892WCXJ055JJ,B0D79727MK,Safari,5,5.0 out of 5 stars,Safari product - quality is its forte,neutral,0.0,True,0,17 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R37FD6JVH69571,B0D79727MK,Safari,5,5.0 out of 5 stars,"It perfect. I got what I wanted, exactly.",positive,0.625,True,0,15 February 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1764KV36IK690,B097B2Z6X9,Safari,5,5.0 out of 5 stars,Light weight and good looking product,positive,0.55,True,0,18 March 2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
R3NXZWWJ29XXS8,B097B2Z6X9,Safari,5,5.0 out of 5 stars,The bag just completed its first journey. It rolls well. Handles exceptionally well. Sturdy. it has the right foot print. The TSA locks are super convenient.,positive,0.384,True,0,11 March 2026,0.384,0.384,0.0,0.0,0.0,0.384,0.384,0.0
R3BH9BLMT1VJ2V,B097B2Z6X9,Safari,1,1.0 out of 5 stars,"Horrible bag, broken after using the 1st time and Safari are not exchanging the trolley even though I hold a warranty.",negative,-0.7,True,0,13 February 2026,-0.7,0.0,0.0,0.0,0.0,-0.7,0.0,0.0
R3BMIVK5YP8LJO,B097B2Z6X9,Safari,4,4.0 out of 5 stars,Very good but we can improve inner part of trolley bag,positive,0.455,True,0,3 February 2026,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R72PL94PB3C0P,B097B2Z6X9,Safari,1,1.0 out of 5 stars,Poor quality. So I had returned immediately,negative,-0.4,True,0,30 November 2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2YB3AJEBLI5LZ,B097B2Z6X9,Safari,5,5.0 out of 5 stars,"Nice color , spacious,strong",positive,0.6,True,0,20 November 2025,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0
R22GT8BVF5T2N3,B0CW9T2Y43,Safari,1,1.0 out of 5 stars,Do not purchase this product. Quality has been compromised for cost cutting. Main and Side handles are not flexible. Even support bracket at bottom of the luggage is not there.,negative,-0.217,True,0,26 March 2026,0.0,-0.217,0.0,0.0,0.0,0.0,0.0,0.0
